Itinerary: ['earth', 'mars', 'venus', 'pluto']
case #: launch date, tof of each leg
8640  : 2026-01-01, [0.3350375032270042, 0.23518180052327622, 9.42978069624972]
8641  : 2026-01-01, [0.5499982145749875, 0.37905003381580515, 9.320951751609208]
8642  : 2026-01-01, [0.3446479286891308, 0.4027006075597697, 9.7526514637511]
8643  : 2026-01-01, [0.5023512154259385, 0.531441216781159, 9.716207567792903]
8644  : 2026-01-01, [0.5268114635182621, 0.5172398360836277, 9.955948700398109]
8645  : 2026-01-01, [0.3674940914280343, 1.109272737197306, 9.77323317137466]
8646  : 2026-01-01, [0.07638131088612085, 0.2632778907551705, 11.16034079835871]
8647  : 2026-01-01, [0.08546970489741432, 0.2702608149169559, 11.39426948018563]
8648  : 2026-01-01, [1.3175227906165243, 0.68852472197612, 9.993952487407356]
8649  : 2026-01-01, [1.4349976630964367, 0.6924024391434119, 10.12259989776015]
8650  : 2026-01-01, [0.6708503995620149, 0.4443733824805801, 11.384776217957405]
8651  : 2026-01-01, [0.41707761105770713, 0.18888028608220422, 12.14404210286009]
8652  : 2026-01-01, [0.5341872408003145, 0.5757319058361152, 11.890080853363571]
8653  : 2026-01-01, [0.24786319606821863, 1.0827053993392626, 11.919431404592519]
8654  : 2026-01-01, [0.9716389543840078, 0.8302720908480903, 11.698088954767904]
8655  : 2026-01-01, [0.4354403718049504, 0.5875328580177158, 12.727026770177332]
8656  : 2026-01-01, [0.9978224050763251, 0.3932622428652787, 12.608915352058396]
8657  : 2026-01-01, [0.5891294063247953, 0.17745856646593416, 13.48341202720927]
8658  : 2026-01-01, [0.8092631714457093, 0.620380811340155, 13.070356017214136]
8659  : 2026-01-01, [0.9172117029722512, 1.7400671820881575, 12.09272111493959]
8660  : 2026-01-01, [0.39422677009479923, 0.25650093339568214, 14.349272296509518]
8661  : 2026-01-01, [0.24365155883837591, 1.170815918374323, 13.835532522787302]
8662  : 2026-01-01, [1.2084266413864213, 0.7250130806796078, 13.56656027793397]
8663  : 2026-01-01, [1.0783898905358082, 0.7452756998608845, 13.926334409603307]
