Itinerary: ['earth', 'mars', 'venus', 'pluto']
case #: launch date, tof of each leg
10800 : 2027-01-01, [0.11681280875878378, 0.2639825296236643, 9.619204661617552]
10801 : 2027-01-01, [0.12265672578162964, 0.2661979382406575, 9.861145335977714]
10802 : 2027-01-01, [0.1282326898167258, 0.26941284101139285, 10.10235446917188]
10803 : 2027-01-01, [0.13398201239402097, 0.27241137806001264, 10.343606609545965]
10804 : 2027-01-01, [0.14069903538817216, 0.27340696200620374, 10.585894002605624]
10805 : 2027-01-01, [0.14680067246879183, 0.2784225778508565, 10.824776749680352]
10806 : 2027-01-01, [0.15374304623632243, 0.2791926783883942, 11.067064275375282]
10807 : 2027-01-01, [0.16112230976365768, 0.28194143501421043, 11.306936255222132]
10808 : 2027-01-01, [0.1694970278607944, 0.27996855141561383, 11.550534420723592]
10809 : 2027-01-01, [0.1788944245526006, 0.28145863981522296, 11.789646935632177]
10810 : 2027-01-01, [0.18804193964619825, 0.27842033166382046, 12.03353772868998]
10811 : 2027-01-01, [0.1983466537285355, 0.2790507415543526, 12.272602604717113]
10812 : 2027-01-01, [0.6946836010114258, 1.4755823522072131, 10.829734046781361]
10813 : 2027-01-01, [0.3102613051057974, 0.2974982036099522, 12.642240491284248]
10814 : 2027-01-01, [0.23549292672046537, 0.3106911479647243, 12.953815925314812]
10815 : 2027-01-01, [0.34072396073853783, 0.26500674662774, 13.144269292633721]
10816 : 2027-01-01, [0.3440856774189986, 0.29728274573575936, 13.358631576845243]
10817 : 2027-01-01, [0.48211905913907993, 0.22839631286877243, 13.539484627992149]
10818 : 2027-01-01, [0.8586070086697454, 1.6425423508381272, 11.998850640492126]
10819 : 2027-01-01, [0.3862396413242373, 0.20373892951886183, 14.160021429156902]
10820 : 2027-01-01, [0.5108149297079994, 1.356556868498108, 13.132628201793892]
10821 : 2027-01-01, [0.5254489938840384, 0.4787025442476777, 14.245848461868285]
10822 : 2027-01-01, [0.4664470367919844, 1.378631467951171, 13.654921495256847]
10823 : 2027-01-01, [0.46409066586167924, 0.27684916262167064, 15.009060171516648]
10824 : 2027-01-01, [0.34623584343217356, 0.38225295505845686, 15.27151120150937]
10825 : 2027-01-01, [0.4139066697228354, 0.3270790479990847, 15.50901428227808]
10826 : 2027-01-01, [0.5430222445263275, 0.22903495486909356, 15.72794280060458]
10827 : 2027-01-01, [0.6202023578005743, 1.526421263115764, 14.603376379083661]
10828 : 2027-01-01, [0.3652556500804936, 0.565071524949293, 16.069672824970212]
10829 : 2027-01-01, [0.661802574905602, 0.6282551952641192, 15.959942229830279]
10830 : 2027-01-01, [0.3834286226976847, 0.4490745618077954, 16.66749681549452]
10831 : 2027-01-01, [0.564273468968535, 1.5950294375458038, 15.59069709348566]
10832 : 2027-01-01, [0.7944529550485809, 1.813686101563927, 15.39186094338749]
10833 : 2027-01-01, [0.29531869454518017, 0.5729184229081122, 17.381762882546706]
10834 : 2027-01-01, [0.4744611473557469, 0.5037122054548099, 17.521826647189442]
10835 : 2027-01-01, [0.6132830969131158, 0.44652883106321717, 17.690188072023666]
10836 : 2027-01-01, [1.489962334195961, 2.3205743817750966, 15.189463284028943]
10837 : 2027-01-01, [0.8259273686674242, 0.3672769166089951, 18.05679571472358]
10838 : 2027-01-01, [0.6819693853860027, 0.5824957058259996, 18.235534908787997]
10839 : 2027-01-01, [0.8646085483318973, 0.6463364968064824, 18.23905495486162]
10840 : 2027-01-01, [0.8081485036803104, 1.9275883846950186, 17.264263111624672]
10841 : 2027-01-01, [1.1442050008681548, 2.200585404691033, 16.905209594440812]
10842 : 2027-01-01, [0.8419572183675964, 1.869131905436127, 17.788910876196276]
10843 : 2027-01-01, [0.732738143414762, 0.6531016551346297, 19.364160201450606]
10844 : 2027-01-01, [1.0092095948936084, 2.1414384111637674, 17.849351993942626]
10845 : 2027-01-01, [0.5274097480618248, 0.7820601445716966, 19.940530107366477]
10846 : 2027-01-01, [0.922780002041809, 2.016250517279107, 18.560969480679088]
10847 : 2027-01-01, [0.49017176006863694, 0.532176196985267, 20.727652042946094]
10848 : 2027-01-01, [0.5074722927242246, 0.6487566496348983, 20.843771057640875]
10849 : 2027-01-01, [1.2242121888113242, 0.1743352910331324, 20.851452520155544]
10850 : 2027-01-01, [0.7682231815292767, 1.914089460080742, 19.817687358389982]
10851 : 2027-01-01, [0.4052541416347226, 0.6401601622721824, 21.704585696093094]
10852 : 2027-01-01, [0.48801185641785133, 0.530119721210928, 21.98186842237122]
10853 : 2027-01-01, [1.0769101882568584, 0.2978995281029954, 21.875190283640148]
10854 : 2027-01-01, [1.9157474375739056, 0.9987124065682268, 20.585540155857863]
10855 : 2027-01-01, [0.5646408238542899, 0.7971570567197499, 22.38820211942596]
10856 : 2027-01-01, [0.8242069827997286, 0.7230593151212791, 22.45273370207899]
10857 : 2027-01-01, [0.8872186495603125, 0.8728076869394882, 22.489973663500198]
10858 : 2027-01-01, [0.8443156302840926, 0.6933475193245042, 22.962336850391406]
10859 : 2027-01-01, [1.2164821901334646, 0.6597495441140452, 22.87376826575249]
10860 : 2027-01-10, [0.11011103840593442, 0.26118621036738826, 9.628702751226678]
10861 : 2027-01-10, [0.11461065435839983, 0.26385047986942534, 9.871538865772173]
10862 : 2027-01-10, [0.11996067105972136, 0.26690522977530223, 10.113134099164975]
10863 : 2027-01-10, [0.1254830289233002, 0.26973520460998357, 10.354781766466715]
10864 : 2027-01-10, [0.13118302725341732, 0.27233359351869013, 10.596483379227893]
10865 : 2027-01-10, [0.13845086649894126, 0.2712436188429057, 10.840305514658153]
10866 : 2027-01-10, [0.14454510987148222, 0.2759135954029899, 11.079541294725528]
10867 : 2027-01-10, [0.150873270217816, 0.27773297591034246, 11.321393753871842]
10868 : 2027-01-10, [0.15897463583776744, 0.2753976346386811, 11.565627729523552]
10869 : 2027-01-10, [0.167390180349187, 0.2754558647674436, 11.80715395488337]
10870 : 2027-01-10, [0.175026470072836, 0.2869790535436741, 12.037994476383489]
10871 : 2027-01-10, [0.41775914976198636, 0.15970188707543193, 12.172538963162582]
10872 : 2027-01-10, [0.5039239792293071, 0.14918555961300176, 12.34689046115769]
