Itinerary: ['earth', 'mars', 'earth', 'pluto']
case #: launch date, tof of each leg
15120 : 2029-01-01, [0.48728161310303536, 1.1601829595035928, 8.352535427393372]
15121 : 2029-01-01, [0.5774051204357209, 1.2333417163236857, 8.439253163240595]
15122 : 2029-01-01, [0.2368083297852421, 0.37638467302037626, 9.886806997194382]
15123 : 2029-01-01, [0.17114555126976808, 0.3695420859897872, 10.209312362740445]
15124 : 2029-01-01, [0.23339312924994896, 0.39279570340589703, 10.373811167344154]
15125 : 2029-01-01, [0.17325832455815343, 0.38085476518896894, 10.695886910252879]
15126 : 2029-01-01, [0.18503472549845512, 0.384132294042099, 10.930832980459446]
15127 : 2029-01-01, [0.20492679010975667, 0.3904608548253244, 11.15461235506492]
15128 : 2029-01-01, [0.3151842373568582, 0.38381360578349627, 11.301002156859646]
15129 : 2029-01-01, [0.3703778158533853, 0.3693332550346543, 11.510288929111962]
15130 : 2029-01-01, [0.19287327312965488, 0.4156303510859281, 11.891496375784417]
15131 : 2029-01-01, [0.20587676753769638, 0.4153708950363868, 12.128752337425919]
15132 : 2029-01-01, [0.21802509745787357, 0.4166133405444181, 12.365361561997707]
15133 : 2029-01-01, [0.459333328736003, 0.3454389343464126, 12.445227736917584]
15134 : 2029-01-01, [0.19617309630703866, 0.4396581508369378, 12.864168752856022]
15135 : 2029-01-01, [0.20128199094478122, 0.44370938867585247, 13.105008620379367]
15136 : 2029-01-01, [0.20742832307076833, 0.44695948740697855, 13.345612189522251]
15137 : 2029-01-01, [0.21332830209609924, 0.452108858099037, 13.584562839804862]
15138 : 2029-01-01, [0.22033978699637047, 0.4564263328342989, 13.823233880169331]
15139 : 2029-01-01, [0.22886154250588644, 0.45851323819692197, 14.062625219297193]
15140 : 2029-01-01, [0.23850945776794596, 0.46328535199533655, 14.298205190236718]
15141 : 2029-01-01, [0.2481822268195344, 0.46824946723901223, 14.53356830594145]
15142 : 2029-01-01, [0.26052042621754395, 0.4694462558963095, 14.770033317886147]
15143 : 2029-01-01, [0.27649073972781696, 0.47370458102721097, 14.99980467924497]
15144 : 2029-01-01, [0.2987298210237357, 0.4763604349918742, 15.224909743984389]
15145 : 2029-01-01, [0.3579310201813725, 0.47666359807755987, 15.415405381741067]
15146 : 2029-01-01, [1.1565198328711053, 0.7952211567348169, 14.548259010394078]
15147 : 2029-01-01, [0.9892243027561018, 1.9507692816989823, 13.810006415544915]
15148 : 2029-01-01, [0.7756954141235486, 0.7498204448394489, 15.474484141037005]
15149 : 2029-01-01, [0.3372670076752143, 0.4845092355033076, 16.428223756821478]
15150 : 2029-01-01, [0.3629014346001424, 0.485624241498362, 16.651474323901496]
15151 : 2029-01-01, [0.39535423112210744, 0.4812529899914979, 16.873392778886394]
15152 : 2029-01-01, [0.44422211831675673, 0.4750266699768175, 17.080751211706428]
15153 : 2029-01-01, [0.5934506859131568, 0.4445942938620394, 17.211955020224803]
15154 : 2029-01-01, [0.5274522383467294, 1.677655764522089, 16.29489199713118]
15155 : 2029-01-01, [0.6784628962918712, 0.2960953397950056, 17.775441763913122]
15156 : 2029-01-01, [0.4134280898893822, 0.46488544212567273, 18.121686467984947]
15157 : 2029-01-01, [0.5123307667273228, 1.6737688277416252, 17.06390040553105]
15158 : 2029-01-01, [1.753455111432423, 0.8110675104742477, 16.93547737809333]
15159 : 2029-01-01, [0.49877841761834485, 0.5128032951403633, 18.738418287241295]
15160 : 2029-01-01, [0.5266549626109347, 0.5106003961434585, 18.962744641245607]
15161 : 2029-01-01, [0.5615617062770725, 0.5100354811472502, 19.178402812575676]
15162 : 2029-01-01, [0.6001329895700808, 0.5070398472468216, 19.392827163183096]
15163 : 2029-01-01, [0.6476616742829833, 0.5066235885785463, 19.595714737138472]
15164 : 2029-01-01, [0.6936336870560248, 0.4986661383776866, 19.80770017456629]
15165 : 2029-01-01, [0.9104822015819636, 0.49000260131375917, 19.849515197104278]
15166 : 2029-01-01, [0.9872587944776033, 0.49887384399180845, 20.01386736153059]
15167 : 2029-01-01, [1.1311749029296077, 0.5062796792188716, 20.11254541785152]
15168 : 2029-01-01, [1.3158386728142604, 0.5284032867212503, 20.155758040464487]
15169 : 2029-01-01, [1.1561516038394144, 1.2216979898717188, 19.872150406288867]
15170 : 2029-01-01, [0.24605128399765663, 1.6051090624138338, 20.64883965358851]
15171 : 2029-01-01, [0.3851630590288887, 0.7311966547910762, 21.633640286180032]
15172 : 2029-01-01, [0.6922670337061619, 0.7868917014700194, 21.52084126482382]
15173 : 2029-01-01, [1.1205727777446883, 0.8424662025312991, 21.28696101972401]
15174 : 2029-01-01, [1.0913979752710579, 0.2705510490445, 22.13805097568444]
15175 : 2029-01-01, [0.6834937408123906, 0.35941735119784934, 22.70708890798976]
15176 : 2029-01-01, [0.5403958903083133, 0.5414239636832842, 22.9181801460084]
15177 : 2029-01-01, [2.9377265317384094, 0.8419574441461403, 20.47031602411545]
15178 : 2029-01-01, [1.2864533323674803, 1.2449980877985984, 21.96854857983392]
15179 : 2029-01-01, [1.1828154156473019, 1.166172125468838, 22.40101245888386]
15180 : 2029-01-10, [0.22808423022249413, 0.35769105715135596, 9.414224712626151]
15181 : 2029-01-10, [0.2598336796065455, 0.35262345575546855, 9.637542864637986]
15182 : 2029-01-10, [0.40857974320094653, 1.1616866754503388, 8.929733581348716]
15183 : 2029-01-10, [0.19605580246558338, 0.400808848912359, 10.153135348622058]
15184 : 2029-01-10, [0.24253823013215212, 0.38027775787454904, 10.377184011993299]
15185 : 2029-01-10, [0.16492566410856402, 0.37971805934711705, 10.70535627654432]
15186 : 2029-01-10, [0.17773054204762703, 0.3847601171804013, 10.937509340771971]
15187 : 2029-01-10, [0.1975581640967148, 0.39025203104098555, 11.162189804862301]
15188 : 2029-01-10, [0.30467203971941936, 0.37889723027646927, 11.316430730004113]
15189 : 2029-01-10, [0.3500325027050439, 0.3684711505101725, 11.531496346784783]
15190 : 2029-01-10, [0.18219395396400692, 0.41205700276300955, 11.905749043272984]
15191 : 2029-01-10, [0.19317330842386524, 0.414744688436815, 12.142082003139318]
15192 : 2029-01-10, [0.4016625848301839, 0.36134049517917965, 12.236996919990636]
15193 : 2029-01-10, [0.17869832161806162, 0.4344646514474985, 12.63683702693444]
15194 : 2029-01-10, [0.18357063195247875, 0.4387377444814823, 12.87769162356604]
15195 : 2029-01-10, [0.18870083799541545, 0.4415149210599963, 13.119784240944586]
15196 : 2029-01-10, [0.1942714246959683, 0.4468008631177614, 13.35892771218627]
15197 : 2029-01-10, [0.20091814075212647, 0.45125405857150813, 13.597827800676363]
15198 : 2029-01-10, [0.20785514181417714, 0.45392932606707515, 13.838215532118749]
15199 : 2029-01-10, [0.2153857259549565, 0.45930728187337544, 14.075306992171669]
15200 : 2029-01-10, [0.2240331226049001, 0.46348930070656774, 14.312477576688531]
15201 : 2029-01-10, [0.2329716341563464, 0.4676011278179976, 14.549427238025656]
15202 : 2029-01-10, [0.24440941369033825, 0.4719961569489432, 14.783594429360717]
15203 : 2029-01-10, [0.25918086011235886, 0.47352339919640307, 15.017295740691239]
15204 : 2029-01-10, [0.2769887844125935, 0.47807941450587693, 15.244931801081528]
15205 : 2029-01-10, [0.3199242177550934, 0.47908780353090635, 15.450987978714002]
15206 : 2029-01-10, [0.9750233136852702, 1.9766924816342621, 13.548284204680467]
15207 : 2029-01-10, [0.7427360579677929, 0.5181591075488041, 15.489104834483403]
15208 : 2029-01-10, [0.45779996805057693, 0.538603353666071, 16.00359667828335]
15209 : 2029-01-10, [0.3149605984213015, 0.4859582865653303, 16.449081115013367]
15210 : 2029-01-10, [0.3388460429764125, 0.486199282624582, 16.674954674399007]
15211 : 2029-01-10, [0.3612609924245014, 0.4856463411002727, 16.903092666475228]
15212 : 2029-01-10, [0.3977996746018193, 0.4810698199842942, 17.121130505413888]
15213 : 2029-01-10, [0.49860119170251344, 0.470392490793094, 17.281006317504396]
15214 : 2029-01-10, [0.8386736850397281, 0.41380816061653264, 17.247518154343737]
15215 : 2029-01-10, [0.442607835933401, 1.6330340902090337, 16.674358073857565]
15216 : 2029-01-10, [1.1319038339481249, 0.9581237994717393, 16.909972366580135]
15217 : 2029-01-10, [0.6591191891907611, 0.3618287048152141, 18.229052105994025]
15218 : 2029-01-10, [0.7836112739977503, 0.6034008980195401, 18.11298782798271]
15219 : 2029-01-10, [0.4585287342517553, 0.5147632283198249, 18.77670803742842]
15220 : 2029-01-10, [0.48638390641632784, 0.5142125357355662, 18.999403557848105]
15221 : 2029-01-10, [0.5167304610158856, 0.5176110966510881, 19.215658442333023]
15222 : 2029-01-10, [0.5477034535951377, 0.5129648706093353, 19.439331675795525]
15223 : 2029-01-10, [0.587390925546299, 0.5146482340167758, 19.647960840436927]
15224 : 2029-01-10, [0.6270395433403176, 0.5104868387241891, 19.862473617935493]
15225 : 2029-01-10, [0.6672414728284485, 0.5135834598225555, 20.069175067348993]
15226 : 2029-01-10, [0.8595222442689291, 0.5042765204104591, 20.13620123532061]
15227 : 2029-01-10, [0.9382311748333858, 0.5071106449679265, 20.30465818019869]
15228 : 2029-01-10, [1.0922321751997721, 0.5195114670566502, 20.38825635774358]
15229 : 2029-01-10, [1.232269830287671, 0.5453595156639517, 20.472370654048376]
15230 : 2029-01-10, [1.0275344679804332, 0.1386847778122512, 21.333780754207318]
15231 : 2029-01-10, [1.431337810544275, 1.371534971648374, 19.94712721780735]
15232 : 2029-01-10, [0.8681967970889126, 2.2412705285108734, 19.890532674400216]
15233 : 2029-01-10, [0.6419155738251965, 0.7921533336734158, 21.815931092501387]
15234 : 2029-01-10, [0.8969799308662905, 0.8117000391898574, 21.79132002994385]
15235 : 2029-01-10, [2.702752407099439, 1.0066803579328942, 20.040567234967668]
15236 : 2029-01-10, [0.4475056759156275, 1.9099347024717805, 21.64255962161259]
15237 : 2029-01-10, [0.5138971430690973, 0.8180457530955797, 22.91805710383532]
15238 : 2029-01-10, [1.0611492622217995, 1.0556357472835503, 22.383214990494654]
15239 : 2029-01-10, [0.7186905254898405, 0.7698682074012253, 23.261441267108935]
15240 : 2029-01-20, [0.3312192277733885, 1.0382026483295894, 8.630578123897022]
15241 : 2029-01-20, [0.137886996690569, 0.3562112849683098, 9.755901718341121]
15242 : 2029-01-20, [0.40984492445290166, 1.2056230885586745, 8.884531986988424]
15243 : 2029-01-20, [0.18949293644665618, 0.3898807385174684, 10.170626325035876]
15244 : 2029-01-20, [0.1448820333356086, 0.3734372550592824, 10.481680711605108]
15245 : 2029-01-20, [0.15456544370899294, 0.3785062563997536, 10.716928299891254]
15246 : 2029-01-20, [0.16827007487279355, 0.3852007336208593, 10.946529191506347]
15247 : 2029-01-20, [0.26187425859299246, 0.379416671272859, 11.108709070134148]
15248 : 2029-01-20, [0.29173658565840377, 0.37180151254785365, 11.336461901793744]
15249 : 2029-01-20, [0.16069817312653317, 0.40766257583649496, 11.681639251036973]
15250 : 2029-01-20, [0.1695052284741429, 0.4098252965101617, 11.920669475015695]
15251 : 2029-01-20, [0.34371380574587357, 0.36576370485402554, 12.040522489400102]
15252 : 2029-01-20, [0.15997603490706847, 0.4276464652847089, 12.412377499808223]
15253 : 2029-01-20, [0.16453642800309098, 0.4320170742558619, 12.653446497741047]
