Itinerary: ['earth', 'mars', 'earth', 'pluto']
case #: launch date, tof of each leg
8640  : 2026-01-01, [0.9312251203671781, 0.6479302250129547, 8.420844654619867]
8641  : 2026-01-01, [0.3968050254527387, 0.40778882286015466, 9.445406151687106]
8642  : 2026-01-01, [0.7352633119076022, 0.2974192637184798, 9.467317424373919]
8643  : 2026-01-01, [0.6394400509843364, 0.661756640537015, 9.44880330847865]
8644  : 2026-01-01, [0.19220880250190628, 0.9638551339496152, 9.843936063548478]
8645  : 2026-01-01, [1.0779714334226371, 0.686754562828588, 9.485274003748774]
8646  : 2026-01-01, [0.4172668851724343, 0.4463366029055967, 10.63639651192197]
8647  : 2026-01-01, [0.3929024889527031, 0.06601046101808128, 11.291087050029217]
8648  : 2026-01-01, [0.7266009958039693, 0.30646626163496177, 10.96693274256107]
8649  : 2026-01-01, [0.7094792990863797, 0.31058669693276253, 11.229934003980858]
8650  : 2026-01-01, [0.6526045841930281, 0.6696588192007508, 11.177736596606222]
8651  : 2026-01-01, [0.1848918454633619, 1.0629185338713403, 11.502189620665298]
8652  : 2026-01-01, [0.6540993271764312, 1.5274391423069473, 10.818461530516622]
8653  : 2026-01-01, [1.5008478389210518, 0.5188196267957538, 11.230332534283194]
8654  : 2026-01-01, [0.42019508683470963, 0.5188890747218907, 12.5609158384434]
8655  : 2026-01-01, [1.2437979756679574, 0.438576103305484, 12.06762592102656]
8656  : 2026-01-01, [0.10499923570266466, 0.28161587456778386, 13.61338488972955]
8657  : 2026-01-01, [0.2222294790057083, 0.19504511082504436, 13.832725410169246]
8658  : 2026-01-01, [1.1335654589372888, 0.41633353388844524, 12.950101007174265]
8659  : 2026-01-01, [0.47982596543614814, 0.6793082577625272, 13.590865776801325]
8660  : 2026-01-01, [0.25794530745526795, 0.25361725568110055, 14.488437436863633]
8661  : 2026-01-01, [1.058614625845231, 0.3528489920449161, 13.83853638210985]
8662  : 2026-01-01, [0.1100576410719479, 0.339836568011928, 15.050105790916124]
8663  : 2026-01-01, [0.21246134922036386, 0.2916832857776301, 15.245855365002008]
8664  : 2026-01-01, [0.6971825756187424, 0.6269629003469024, 14.675854524034355]
8665  : 2026-01-01, [0.07339607156755536, 0.3543679328630157, 15.822235995569427]
8666  : 2026-01-01, [0.883245902806603, 0.8192621939326973, 14.797491903260699]
8667  : 2026-01-01, [0.409579648556811, 1.5235488875913734, 14.816871463851816]
8668  : 2026-01-01, [1.401354815372801, 0.8708529274827709, 14.727792257144428]
8669  : 2026-01-01, [0.09977502632601075, 0.27815733038825574, 16.87206764328573]
8670  : 2026-01-01, [0.21494722479692305, 1.353095678898358, 15.931957096304721]
8671  : 2026-01-01, [2.702286750984788, 1.0432657844059903, 14.004447464609223]
8672  : 2026-01-01, [1.0728984623850735, 1.0677540527973302, 15.859347484817595]
8673  : 2026-01-01, [0.14854429186368506, 0.16539034385611084, 17.936065364280203]
