Itinerary: ['earth', 'mars', 'earth', 'pluto']
case #: launch date, tof of each leg
0     : 2022-01-01, [0.3090726543970796, 0.44173087406801903, 9.249196471534901]
1     : 2022-01-01, [0.3286105783771581, 0.4507150962681365, 9.470674325354704]
2     : 2022-01-01, [0.3552191632938656, 0.4617705917458863, 9.683010244960249]
3     : 2022-01-01, [0.38614820301001623, 0.47533472645244923, 9.888517070537533]
4     : 2022-01-01, [0.42581741191700606, 0.48699837697316645, 10.087184211109829]
5     : 2022-01-01, [0.48407129903674084, 0.505886996744155, 10.260041704219102]
6     : 2022-01-01, [0.57995632681712, 0.530730885003001, 10.389312788179877]
7     : 2022-01-01, [0.8222098109422616, 0.5911850547764574, 10.336605134281282]
8     : 2022-01-01, [1.8151262648369355, 0.7995963921703382, 9.385277342992726]
9     : 2022-01-01, [0.5096456422625976, 0.6166323227046253, 11.123722035032777]
10    : 2022-01-01, [0.7900713164602294, 0.6204880897616661, 11.089440593778104]
11    : 2022-01-01, [0.5338084174556968, 0.6495799341049939, 11.56661164843931]
12    : 2022-01-01, [1.008407260473263, 0.8393943134578561, 11.15219842606888]
13    : 2022-01-01, [0.6944724254671226, 0.26908184387355033, 12.286445730659327]
14    : 2022-01-01, [1.113981091934253, 0.6203303861769693, 11.765688521888778]
15    : 2022-01-01, [0.5702690848349081, 0.3531868155036409, 12.82654409966145]
16    : 2022-01-01, [0.8026631082252753, 0.6355924259474738, 12.561744465827251]
17    : 2022-01-01, [0.9398881108915657, 0.2223793458001193, 13.087732543308316]
18    : 2022-01-01, [1.1336800285684672, 0.6316745523658865, 12.734645419065647]
19    : 2022-01-01, [0.3808260280451091, 0.5744593334777216, 13.79471463847717]
20    : 2022-01-01, [0.8596612272479095, 0.8603166254121025, 13.280022147339988]
21    : 2022-01-01, [0.6804622514095532, 0.6497099459681475, 13.919827802622297]
22    : 2022-01-01, [0.967311767895079, 0.8694520367556061, 13.663236195349315]
23    : 2022-01-01, [0.8065028400538367, 0.2708026233489051, 14.672694536597257]
24    : 2022-01-01, [0.1773566144788444, 1.2632373797054226, 14.559406005815733]
25    : 2022-01-01, [0.7525650237572311, 0.31756140559171936, 15.179873570651049]
26    : 2022-01-01, [1.1439163456397476, 1.029729659021439, 14.326353995338813]
27    : 2022-01-01, [0.7749274322580229, 0.6686877987676448, 15.306384768974333]
28    : 2022-01-01, [0.4593961204617558, 1.6394114987004078, 14.901192380837838]
29    : 2022-01-01, [0.4631974001791574, 1.614406305162029, 15.172396294658814]
30    : 2022-01-01, [1.1681235481220156, 1.0174394417551582, 15.314437010122827]
31    : 2022-01-01, [0.9489995399136542, 0.6805328501007363, 16.12046760998561]
32    : 2022-01-01, [0.4119298618622763, 1.5874625327736263, 16.0006076053641]
33    : 2022-01-01, [1.3698824154396045, 0.7733318852743406, 16.106785699286057]
34    : 2022-01-01, [0.682930114096999, 1.927356511373188, 15.889713374529814]
35    : 2022-01-01, [0.24205028288847869, 1.5026291939606775, 17.005320523150843]
36    : 2022-01-01, [0.5595145556765553, 0.7311282360085795, 17.709357208314866]
37    : 2022-01-01, [0.7367150999938814, 0.7887873682775938, 17.724497531728527]
38    : 2022-01-01, [1.6335583539771383, 0.8332688636755675, 17.033172782347293]
39    : 2022-01-01, [0.1665370048136595, 0.4947226350275026, 19.088740360158837]
40    : 2022-01-01, [0.5117326280014686, 0.6961190284332246, 18.79214834356531]
41    : 2022-01-01, [1.6375347474058466, 2.747615046402303, 15.86485020619185]
42    : 2022-01-01, [0.4348796939334749, 1.8091027398543233, 18.256017566212204]
43    : 2022-01-01, [0.6045933920943615, 0.44995704631281447, 19.695449561592824]
44    : 2022-01-01, [0.7954508109796974, 0.6636090598525708, 19.540940129167733]
45    : 2022-01-01, [0.33338777257838703, 1.722173776958503, 19.194438450463107]
46    : 2022-01-01, [1.058598348032236, 2.303883715523539, 18.137517936444222]
47    : 2022-01-01, [1.5669759383661739, 0.7393790724400416, 19.443644989193782]
48    : 2022-01-01, [0.9625798370130955, 0.984137189522824, 20.05328297346408]
49    : 2022-01-01, [1.710595427018038, 2.900461924253078, 17.638942648728886]
50    : 2022-01-01, [1.6097187958729782, 1.3001507938117423, 19.590130410315282]
