Itinerary: ['earth', 'mars', 'earth', 'pluto']
case #: launch date, tof of each leg
6480  : 2025-01-01, [0.1527215932076982, 0.8602531108953395, 8.987025295896963]
6481  : 2025-01-01, [0.16040981497784024, 0.8807352571268641, 9.208854927895294]
6482  : 2025-01-01, [0.1674971966512898, 0.9026002072360165, 9.429902596112694]
6483  : 2025-01-01, [0.17267414226378852, 0.924682685692147, 9.652643172044066]
6484  : 2025-01-01, [0.16018145476719037, 0.9237448897760618, 9.916073655456747]
6485  : 2025-01-01, [0.14615068311847496, 0.11058190861906386, 10.993267408262462]
6486  : 2025-01-01, [0.16478095790133432, 0.9570452816628323, 10.378173760435834]
6487  : 2025-01-01, [0.17472973945851814, 0.9798959235926498, 10.595374336948831]
6488  : 2025-01-01, [0.20611437190104054, 1.0290349114969621, 10.764850716601996]
6489  : 2025-01-01, [0.26713827835283177, 1.1166038778597762, 10.866257843787391]
6490  : 2025-01-01, [0.4499714332227742, 1.3276089710006622, 10.722419595776563]
6491  : 2025-01-01, [0.33216987158714556, 0.29479365805184277, 12.123036470361011]
6492  : 2025-01-01, [0.5243811467029228, 1.4174728597746558, 11.058145993522423]
6493  : 2025-01-01, [0.24259921310515833, 0.3673143398254477, 12.640086447069395]
6494  : 2025-01-01, [0.4235552742790209, 1.3738871453960897, 11.70255758032489]
6495  : 2025-01-01, [0.15322886748597817, 0.41828985356819787, 13.178481278945823]
6496  : 2025-01-01, [0.21424254660218026, 0.40189290205883876, 13.38386455133898]
6497  : 2025-01-01, [0.353073314531898, 1.3546612507098548, 12.542265434758248]
6498  : 2025-01-01, [0.3889183991592737, 1.4040387933638656, 12.70704280747686]
6499  : 2025-01-01, [0.15384705357028453, 0.42640473306246235, 14.169748213367253]
6500  : 2025-01-01, [0.1675087354522266, 0.4427223388654757, 14.389768925682297]
6501  : 2025-01-01, [0.18515148210371288, 0.4577849973902886, 14.607063520506]
6502  : 2025-01-01, [0.20430424865819083, 0.46551925909292546, 14.830176492248883]
6503  : 2025-01-01, [0.3046389333295708, 0.35200582720803525, 15.093355239462394]
6504  : 2025-01-01, [0.34667368455044806, 0.3200827395930339, 15.333243575856518]
6505  : 2025-01-01, [0.4056480211422368, 0.2593718227916319, 15.584980156066132]
6506  : 2025-01-01, [0.5065718787471167, 0.1963378607153851, 15.7970902605375]
6507  : 2025-01-01, [0.5956372250699711, 1.683207023374417, 14.471155751555614]
6508  : 2025-01-01, [0.3191326012626677, 0.5429320536495588, 16.137935345087772]
6509  : 2025-01-01, [0.22399452284775243, 0.4072725492941641, 16.618732927858083]
6510  : 2025-01-01, [0.24329972859870877, 0.4005573946757629, 16.856142876725528]
6511  : 2025-01-01, [0.5131081940387836, 0.20360964933183692, 17.03328215662938]
6512  : 2025-01-01, [0.5421533031912377, 0.1912521328620033, 17.266594563946757]
6513  : 2025-01-01, [0.15871117154945938, 0.48434214943357445, 17.606946679016968]
6514  : 2025-01-01, [0.16310368570462955, 0.4881493132664587, 17.84874700102891]
6515  : 2025-01-01, [0.16642806990564127, 0.4933067193079021, 18.090265210786455]
6516  : 2025-01-01, [0.17244327040927376, 0.49413064288148983, 18.33342608670924]
6517  : 2025-01-01, [0.1774528027945626, 0.49892326087629285, 18.57362393632914]
6518  : 2025-01-01, [0.18361061434265882, 0.5018930986656096, 18.81449628699173]
6519  : 2025-01-01, [0.1889368507482605, 0.5069369032502421, 19.0541262460015]
6520  : 2025-01-01, [0.1956795223449891, 0.5107213520516194, 19.29359912560339]
6521  : 2025-01-01, [0.20224092492750476, 0.513616323006825, 19.53414275206567]
6522  : 2025-01-01, [0.21055236091467983, 0.5186003625063839, 19.770847276578937]
6523  : 2025-01-01, [0.21904897905366413, 0.5235548188583713, 20.007396202087964]
6524  : 2025-01-01, [0.22724045951712313, 0.5330947734122773, 20.2396647670706]
6525  : 2025-01-01, [0.23559023002056337, 0.5398399500469013, 20.474569819932537]
